address_full,number,street,city,state,zip,longitude,latitude,statefp,countyfp,tractce,blkgrpce
"133-20 85 ST NEW YORK, NY 11417 ",133-20,85 ST,NEW YORK,NY,11417,-73.851338,40.673495,36,081,005800,3
"292 MONTAUK AVE NEW YORK, NY 11208 ",292,MONTAUK AVE,NEW YORK,NY,11208,-73.877478,40.671479,36,047,119400,3
"6 ROMER RD NEW YORK, NY 10304 ",6,ROMER RD,NEW YORK,NY,10304,-74.103098,40.593125,36,085,017701,3
"164-10 104 ST NEW YORK, NY 11414 ",164-10,104 ST,NEW YORK,NY,11414,-73.827662,40.651995,36,081,088400,6
"1429 SHORE PKWY NEW YORK, NY 11214 ",1429,SHORE PKWY,NEW YORK,NY,11214,-74.005699,40.59867,36,047,028200,1
"196 22 ST NEW YORK, NY 11232 ",196,22 ST,NEW YORK,NY,11232,-73.995537,40.661591,36,047,014500,2
"715 SAGAMORE ST NEW YORK, NY 10462 ",715,SAGAMORE ST,NEW YORK,NY,10462,-73.86631,40.848674,36,005,023000,1
"4730 RICHARDSON AVE NEW YORK, NY 10470 ",4730,RICHARDSON AVE,NEW YORK,NY,10470,-73.850599,40.904675,36,005,041400,2
"94-17 84 ST NEW YORK, NY 11416 ",94-17,84 ST,NEW YORK,NY,11416,-73.856868,40.685023,36,081,003400,1
"2732 MILL AVE NEW YORK, NY 11234 ",2732,MILL AVE,NEW YORK,NY,11234,-73.914308,40.607894,36,047,070201,5
